Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latin America,605.117,640.578,659.8251,693.6974,732.5107,769.0388,806.802,854.7583,900.19388,932.81877,982.544724,975.969364,1005.97076,1061.10906,1107.640824,1157.714372,1208.54422,1262.129834,1304.3742523333,1309.3405650553,1376.0097847783,1445.4235031103,1496.7815580953,1532.9094393053,1531.7380103944,1581.4843561861,1593.9245255804,1602.0668303447,1656.406690782,1644.9663199997,1588.242031658,1663.6578156489,1694.6743448383
Argentina,51.014,53.864,56.117,61.88,65.634,67.181,69.772,72.475,74.183,80.759,88.994,90.154,84.605,92.076,100.279,105.769,113.444,113.545,121.927,122.348,126.015,129.506,136.058,139.467,138.576,145.447,147.22,145.644665,146.800295,139.555038,143.696648,151.294442,149.53443395598
Brazil,222.821,234.377,241.732,251.976,260.041,275.601,291.278,307.982,321.748,334.716,348.91,328.508,345.671,364.339,387.453,403.033,419.337,445.147,463.067,466.121,515.713,531.757,552.401,570.838,590.479,581.488,578.897,589.327254,601.396485,626.328387,621.197506,656.075651,668.29863411084
Chile,18.372,19.961,22.363,24.003,25.277,28.027,30.733,33.297,35.509,38.39,40.078,42.531,43.671,46.829,51.208,52.484,55.32,58.509,59.704,60.722,60.434,65.713,69.751,73.065,70.753,75.414,79.335,79.443209,82.33901,84.558255,83.993528,87.669911045557,90.333287764412
Colombia,36.357,36.99,32.944,38.559,41.409,42.716,43.362,44.605,44.897,42.822,43.131,43.448,45.048,46.547,49.726,50.344,53.772,55.232,55.945,57.156,60.629,62.187,63.539,74.001,71.072,78.596,76.8,79.280015,79.963277,80.415465,79.549561,86.223274090211,89.692681660806
Mexico,115.837,128.568,132.864,135.673,147.131,152.248,157.691,167.493,182.304,191.51,205.675,213.988,218.221,236.217,237.583,250.768,257.802,265.271,269.315,267.753,275.538,302.749,307.228,297.326,301.496,310.712,320.564,322.062337,357.59261,344.176,314.549,325.78135791359,334.39772234713
Asia,2244.2261,2393.9056,2535.3516,2699.3236,2925.6303,3124.967,3300.2298,3464.8897,3544.9316,3721.2573,3984.3267,4166.519,4444.37241,4790.7351,5223.6288,5642.441683,6130.654185,6690.612385,6904.631485,7240.677885,8005.905295,8603.503505,8990.783085,9576.082552,10093.801455,10232.15678104,10780.95238974,11441.38753309,12055.67772522,12483.75382286,12609.9326032,13612.008197496,14177.014220195
China,621.268,677.625,754.071,838.399,928.245,1007.914,1080.24,1135.888,1167.5,1239.927,1355.738,1480.949,1654.164,1910.755,2203.502,2500.466,2865.954,3281.79,3467.185,3715.061,4207.993,4715.761,4994.045,5447.247,5817.298,5854.235,6199.825,6714.762087,7142.723853,7504.375012,7765.375183,8518.616575751,8832.5005337333
India,289.47,315.67,332.799,356.428,385.625,418.127,436.802,465.932,497.053,536.585,561.059,579.618,602.771,640.347,675.495,708.357,767.226,817.325,845.004,909.462,974.483,1060.777,1115.616,1184.473,1289.059,1356.988,1431.97,1508.987324,1607.941706,1646.849133,1533.30742,1643.4651536101,1802.3306021403
Indonesia,32.667,37.34,41.513,45.4,51.358,59.193,67.724,74.627,78.038,85.915,93.325,101.254,108.217,112.974,120.163,127.529,133.072,142.151,149.326,156.774,169.755,183.417,200.03,216.02,227.876,233.984,247.92,254.90932,283.76958,295.444522,291.825925,309.07062510597,333.53119972424
